111, -332, -203, 216, 357	289 -158 -476 81 -333
-5, 377, 338, -245, -203	352 -232 188 242 200
-78, 244, 427, 63, 227	-204 -466 134 187 425
68, -308, -324, -191, 27	-105 426 239 140 -220
-216, -428, -178, -200, 294	358 -112 -95 260 -158
54, -129, 497, -483, 244	-149 202 -142 -378 349
401, -64, 8, -187, -287	206 -22 218 -141 -23
-71, 185, -293, -475, 129	468 -334 -408 -353 -394
-316, -49, 24, -362, -5	-481 68 -399 -204 199
-369, -489, -421, -76, 225	450 25 -285 -196 240
77, 233, 348, 149, -317	-382 249 -36 353 194
-23, -148, 8, -255, 163	-191 8 427 304 -156
-140, -237, 433, -149, 260	-97 -300 121 -341 -173
-231, -106, 457, -200, 374	249 136 -418 -130 -109
58, -33, -476, 204, -306	31 -304 276 408 166
-393, 228, -175, -292, 287	405 370 -88 151 344
458, -35, -375, 229, -242	-409 324 243 421 -254
404, 377, 102, 229, 202	-58 -374 431 -262 -477
-236, -164, -276, 125, 243	-185 -49 -464 134 -115
-401, -434, -493, 387, -51	-241 -172 488 379 -205
15, -390, 203, 473, -141	-353 -13 473 105 -421
-282, -101, -70, 235, 478	404 82 -464 394 50
-344, -33, -494, -140, 292	116 -212 -410 307 110
-401, 218, 425, -259, 254	-200 -415 -136 -256 325
-478, -279, 479, 86, -433	55 -86 -388 -183 7
431, -342, -299, -227, 297	357 -322 -301 377 -392
-202, 172, -297, 167, -288	-16 259 -406 -481 -304
157, -299, 410, 500, -227	-191 174 200 -108 -212
457, 458, 221, -175, -442	-64 452 -439 -94 -45
-296, 52, 194, 148, 193	-237 -95 -366 -292 10
227, -58, -287, -357, -270	268 -329 -32 -47 -56
-280, -309, 277, -234, -415	-54 -229 -274 -425 -217
155, -188, -31, -229, 39	208 -186 -253 -392 -191
76, -319, 151, -350, 125	357 -330 -158 416 -413
484, 268, 243, -176, 414	197 456 233 -6 -224
493, 203, -364, 322, -379	-178 -225 444 -179 120
-231, 310, 327, 324, -256	349 150 89 -221 460
337, 119, 335, 487, -310	132 194 334 109 420
271, 33, 158, 470, -461	-443 0 1 280 356
269, -445, -46, -92, -193	47 352 287 105 121
-451, 97, 183, 27, 32	-253 200 255 -181 264
-312, 450, -49, 44, -70	-334 356 242 347 402
43, -424, 237, -319, -58	232 45 -473 -493 451
322, -100, -257, 342, -168	269 -490 355 -2 -280
-231, -403, 307, 330, -169	-190 -495 -205 -226 162
432, 338, 406, -31, 65	-319 88 109 -376 357
-77, 1, 140, 88, -350	-235 -44 141 -379 80
431, -435, 222, -109, -380	381 382 98 -138 -197
-36, -325, -462, -20, 338	-413 -305 -496 -309 175
-24, -128, -348, -443, -345	-192 327 100 18 197
45, 302, 394, 191, -281	-425 105 82 2 -13
134, -414, -129, -488, 117	-330 167 -342 -177 266
-397, -136, -27, -33, 246	31 -338 436 336 -286
-31, 88, 327, 99, 73	274 -160 -411 -106 -131
220, 310, -349, -387, -229	143 320 -189 -286 109
-165, 87, -483, 258, -366	481 -107 -119 354 -41
-235, -466, 125, 421, -190	-339 -317 -375 -238 -308
159, -55, 93, -125, 466	135 -102 473 -205 -140
46, 172, -140, -290, 221	202 3 -208 160 184
-295, -296, -166, -176, -360	368 -345 -342 75 28
330, 155, 10, 489, -445	-458 32 -59 -287 -242
-33, -167, 235, 337, -448	447 136 150 245 374
452, -51, -403, -382, -156	-57 295 80 -241 -65
338, 312, -161, -93, 239	-346 -398 375 203 266
385, 366, 392, 116, -280	-2 -46 -39 -411 433
-434, 227, 412, 447, 384	-193 251 -394 -4 247
361, 402, -224, 296, 220	187 -167 63 26 -312
495, -211, -458, -213, 234	-23 -370 53 -430 -120
374, 152, 149, 157, 246	-495 26 31 263 372
481, 119, 302, -1, -475	-320 -80 -340 301 420
131, -202, 150, 226, 54	-499 -90 -471 -102 -53
-126, 175, 207, 81, 494	-486 476 -146 -39 -387
-138, -480, 133, -216, -180	303 150 318 417 132
-251, -186, 335, -386, -365	118 -319 -482 10 434
-280, 31, -256, 416, -268	-256 332 -429 -161 -394
191, -149, 249, -380, 425	-335 -410 -154 113 -384
-159, 5, -100, -444, 211	26 142 480 -425 -267
-248, -490, -342, -320, 433	-492 51 289 -33 72
98, 463, 150, 130, -307	-138 -288 -234 228 260
285, 319, 346, -411, 45	195 -372 312 355 238
23, 262, 348, 391, -44	143 399 293 -398 -320
-482, -373, -77, -145, -355	434 281 366 61 90
-11, -57, 95, -25, 295	-10 6 -289 6 -445
307, 443, 114, -156, -211	129 -211 330 -191 91
-396, -479, -496, -11, -471	61 -88 -190 46 243
-419, 139, 189, -353, -286	-339 -492 315 220 350
-103, -11, 446, 92, -491	145 -320 -376 -484 -88
-84, 483, -148, 141, -266	-73 -234 313 -315 495
43, -134, -11, 477, 223	-82 342 381 78 -90
-497, -62, 255, -191, -18	85 -214 -236 398 -68
